"","title","survived","age","pclass","sibsp","parch","family_size","child","sex","deck"
"985","Dr","0","54","3","0","0","0","Adult","Male","B"
"852","Miss","1","34","2","0","0","0","Adult","Female","E"
"234","Mr","1","44","1","0","0","0","Adult","Male","A"
"389","Mrs","0","24","2","0","0","0","Adult","Female","C"
"339","Miss","0","35","2","0","0","0","Adult","Female","C"
"146","Mr","1","35","1","0","0","2","Adult","Male","B"
"905","Mr","0","45","3","0","0","0","Adult","Male","A"
"99","Mr","1","46","1","1","0","2","Adult","Male","D"
"830","Mr","1","30","2","1","0","2","Adult","Male","B"
"837","Mr","0","27","2","0","0","0","Adult","Male","D"
"1033","Mr","0","37","3","1","0","2","Adult","Male","B"
"463","Mr","1","37","2","0","0","2","Adult","Male","A"
"893","Mr","0","30","3","0","0","3","Adult","Male","B"
"151","Mr","0","45","1","0","0","0","Adult","Male","A"
"181","Mr","0","48","1","0","0","0","Adult","Male","B"
"1242","Mrs","0","69","3","0","0","0","Adult","Female","D"
"163","Noblewoman","1","32","1","0","1","3","Adult","Female","B"
"1058","Mr","0","36","3","0","0","0","Adult","Male","B"
"285","Mr","0","37","1","0","0","0","Adult","Male","B"
"131","Mrs","0","53","1","1","0","2","Adult","Female","B"
"171","Mr","0","38","1","0","0","0","Adult","Male","D"
"539","Mrs","0","39","2","1","0","2","Adult","Female","C"
"300","Miss","0","2","2","0","1","2","Child","Female","D"
"920","Mr","0","38","3","1","2","4","Adult","Male","E"
"1257","Miss","0","2","3","1","1","3","Child","Female","D"
"1252","Miss","0","4","3","5","1","7","Child","Female","B"
"1002","Mr","0","26","3","1","0","2","Adult","Male","D"
"487","Mrs","0","24","2","0","2","3","Adult","Female","B"
"624","Mr","0","18","2","0","2","3","Adult","Male","B"
"1235","Mr","0","41","3","0","0","0","Adult","Male","B"
"809","Mr","1","29","2","0","0","0","Adult","Male","B"
"1233","Mrs","1","27","3","2","0","3","Adult","Female","B"
"419","Mrs","1","34","2","1","0","2","Adult","Female","E"
"73","Mr","0","48","1","0","0","2","Adult","Male","D"
"870","Miss","1","25","2","1","0","2","Adult","Female","D"
"1190","Mr","1","27","3","1","0","2","Adult","Male","E"
"714","Nobleman","1","17","2","0","1","2","Child","Male","R"
"1105","Miss","0","24","3","0","1","2","Adult","Female","E"
"1111","Mrs","1","56","3","0","0","0","Adult","Female","B"
"443","Mr","0","45","2","0","0","0","Adult","Male","C"
"157","Mrs","0","37","1","1","1","4","Adult","Female","B"
"1179","Mrs","1","53","3","1","1","3","Adult","Female","C"
"383","Mr","0","33","2","1","0","2","Adult","Male","D"
"528","Miss","0","35","2","0","0","2","Adult","Female","E"
"335","Mrs","1","55","2","1","0","2","Adult","Female","B"
"999","Mrs","0","34","3","1","0","2","Adult","Female","D"
"193","Mr","0","40","1","0","0","0","Adult","Male","A"
"1160","Mrs","0","26","3","0","0","0","Adult","Female","B"
"735","Miss","0","1.5","2","0","1","2","Child","Female","B"
"1149","Mr","1","27","3","0","0","0","Adult","Male","A"
"839","Mr","0","28","2","1","0","2","Adult","Male","C"
"1048","Mrs","1","42","3","0","0","0","Adult","Female","B"
"824","Nobleman","0","10","2","0","1","2","Child","Male","D"
"742","Miss","0","1.5","2","2","2","6","Child","Female","D"
"169","Mr","0","43","1","0","0","0","Adult","Male","D"
"739","Nobleman","1","4","2","2","3","6","Child","Male","D"
"255","Mr","1","31","1","0","0","0","Adult","Male","B"
"526","Mr","0","25","2","0","0","0","Adult","Male","D"
"914","Mr","1","40","3","2","0","3","Adult","Male","B"
"524","Mrs","1","34","2","0","0","0","Adult","Female","B"
"170","Mr","1","60","1","0","0","0","Adult","Male","D"
"469","Mr","1","39","2","0","0","0","Adult","Male","C"
"1161","Miss","1","4","3","1","2","4","Child","Female","B"
"636","Mrs","0","33","2","0","0","0","Adult","Female","C"
"847","Mr","0","27","2","0","0","0","Adult","Male","B"
"618","Nobleman","1","0.83","2","2","2","5","Child","Male","B"
"802","Mr","0","57","2","1","0","2","Adult","Male","D"
"780","Mrs","0","31","2","1","1","3","Adult","Female","D"
"887","Miss","0","33","2","0","0","0","Adult","Female","B"
"17","Mrs","1","31","1","1","0","2","Adult","Female","D"
"910","Mr","0","45","3","0","0","9","Adult","Male","D"
"682","Mr","1","27","2","0","0","0","Adult","Male","D"
"933","Nobleman","0","1","3","0","1","2","Child","Male","D"
"224","Mrs","0","59","1","1","0","2","Adult","Female","B"
"989","Mrs","1","52","3","0","0","0","Adult","Female","B"
"436","Mr","1","31","2","0","0","0","Adult","Male","D"
"945","Mr","1","31","3","0","0","0","Adult","Male","B"
"1112","Mr","0","31","3","0","0","0","Adult","Male","B"
"513","Mr","0","35","2","1","0","2","Adult","Male","B"
"737","Mr","0","21","2","0","0","0","Adult","Male","B"
"605","Mr","0","60","2","1","0","2","Adult","Male","E"
"386","Mr","0","41","2","1","0","2","Adult","Male","C"
"984","Mr","0","29","3","0","0","0","Adult","Male","A"
"853","Mr","1","28","2","1","3","5","Adult","Male","D"
"753","Miss","0","34","2","0","0","0","Adult","Female","B"
"1024","Mr","1","52","3","0","0","0","Adult","Male","D"
"1120","Mr","0","28","3","0","0","0","Adult","Male","D"
"360","Mrs","1","41","2","1","0","2","Adult","Female","D"
"1041","Mr","1","31","3","0","0","0","Adult","Male","D"
"731","Mr","0","24","2","0","0","0","Adult","Male","A"
"1086","Mr","1","32","3","0","0","0","Adult","Male","B"
"892","Mr","0","44","3","0","0","3","Adult","Male","B"
"464","Miss","1","24","2","0","0","0","Adult","Female","C"
