title,survived,age,pclass,sibsp,parch,family_size,child,sex,deck
Nobleman,0,3,1,0,2,3,Child,Male,D
Mrs,1,24,1,0,2,3,Adult,Female,D
Mr,0,56,1,0,0,2,Adult,Male,A
Mr,0,37,1,0,0,0,Adult,Male,B
Mr,1,54,1,0,0,0,Adult,Male,C
Mr,0,NA,1,0,0,0,Adult,Male,B
Mr,0,60,1,0,0,0,Adult,Male,B
Mrs,0,56,1,0,0,0,Adult,Female,B
Mr,1,33,1,0,0,0,Adult,Male,D
Mrs,0,26,2,0,0,0,Adult,Female,NA
Miss,0,2,2,0,0,0,Child,Female,NA
Miss,0,6,2,0,0,0,Child,Female,NA
Mr,0,21,2,0,0,0,Adult,Male,NA
Mr,1,36,2,0,0,0,Adult,Male,NA
Nobleman,0,3,2,0,0,0,Child,Male,NA
Mrs,0,NA,2,0,0,0,Adult,Female,NA
Mr,1,42,2,0,0,0,Adult,Male,NA
Mrs,1,25,2,0,1,2,Adult,Female,NA
Miss,0,2,2,0,1,2,Child,Female,NA
Mr,1,20,2,0,0,0,Adult,Male,NA
Miss,1,16,2,1,1,4,Child,Female,E
Mr,0,31,2,1,2,4,Adult,Male,NA
Mr,0,59,2,0,2,4,Adult,Male,NA
Nobleman,0,2,2,0,1,4,Child,Male,NA
Mr,1,NA,2,0,0,0,Adult,Male,NA
Mrs,1,65,2,0,0,0,Adult,Female,R
Mrs,1,26,2,0,1,2,Adult,Female,NA
Miss,1,2,2,0,1,2,Child,Female,NA
Mrs,0,30,2,0,0,0,Adult,Female,NA
Mrs,0,27,2,0,0,0,Adult,Female,NA
Mr,0,NA,2,0,0,0,Adult,Male,NA
Mr,1,33,2,0,0,0,Adult,Male,NA
Mr,0,NA,2,0,0,0,Adult,Male,NA
Mr,0,53,2,1,1,3,Adult,Male,NA
Mrs,0,45,2,1,1,3,Adult,Female,NA
Miss,0,15,2,0,2,3,Child,Female,NA
Miss,0,NA,2,0,0,0,Adult,Female,NA
Mr,0,27,2,0,0,0,Adult,Male,NA
Miss,0,NA,2,0,0,0,Adult,Female,NA
Miss,1,NA,2,0,0,0,Adult,Female,R
Mr,0,39,2,0,0,0,Adult,Male,NA
Mrs,1,39,2,0,1,2,Adult,Female,NA
Miss,0,9,2,0,1,2,Child,Female,NA
Mr,0,NA,2,0,0,0,Adult,Male,NA
Mrs,0,40,2,0,0,0,Adult,Female,NA
Miss,1,25,2,0,0,2,Adult,Female,NA
Mr,1,38,2,0,0,0,Adult,Male,NA
Mr,1,56,2,0,0,0,Adult,Male,NA
Mr,0,NA,2,1,1,3,Adult,Male,NA
Nobleman,0,6,2,0,2,3,Child,Male,NA
Mrs,1,39,2,1,2,3,Adult,Female,NA
Mr,1,18,2,0,1,2,Adult,Male,NA
Rev,0,53,2,1,0,2,Adult,Male,NA
Mrs,1,55,2,1,0,2,Adult,Female,NA
